GUD HOLDINGS LTD,"57,648","430,099.78","316,736.76","(113,363.02)",AUSTRALIA,Consumer Discretionary,Automobiles & Components
PWR HOLDINGS LTD,"13,794","62,014.87","59,948.01","(2,066.86)",AUSTRALIA,Consumer Discretionary,Automobiles & Components
BREVILLE GROUP LTD,"29,529","296,820.52","365,298.05","68,477.53",AUSTRALIA,Consumer Discretionary,Consumer Durables & Apparel
FLEETWOOD LTD,"70,684","112,345.97","62,944.59","(49,401.38)",AUSTRALIA,Consumer Discretionary,Consumer Durables & Apparel
AVJENNINGS LTD,"87,740","45,334.92","27,150.48","(18,184.44)",AUSTRALIA,Consumer Discretionary,Consumer Durables & Apparel
ATOMOS LTD,"10,758","11,288.55","1,405.57","(9,882.98)",AUSTRALIA,Consumer Discretionary,Consumer Durables & Apparel
STAR ENTERTAINMENT GRP LTD/THE,"891,203","2,387,200.84","1,709,811.72","(677,389.12)",AUSTRALIA,Consumer Discretionary,Consumer Services
IDP EDUCATION LTD,"99,985","1,112,435.06","1,637,736.60","525,301.54",AUSTRALIA,Consumer Discretionary,Consumer Services
ARISTOCRAT LEISURE LTD,"61,417","1,174,039.91","1,451,984.30","277,944.39",AUSTRALIA,Consumer Discretionary,Consumer Services
TABCORP HOLDINGS LTD,"1,155,605","1,302,009.89","846,304.17","(455,705.72)",AUSTRALIA,Consumer Discretionary,Consumer Services
G8 EDUCATION LTD,"1,007,391","1,234,507.76","730,832.72","(503,675.04)",AUSTRALIA,Consumer Discretionary,Consumer Services
LOTTERY CORP LTD/THE,"165,403","539,131.15","514,101.97","(25,029.18)",AUSTRALIA,Consumer Discretionary,Consumer Services
FLIGHT CENTRE TRAVEL GROUP LTD,"38,181","401,208.18","455,789.66","54,581.48",AUSTRALIA,Consumer Discretionary,Consumer Services
CORPORATE TRAVEL MANAGEMENT LT,"31,561","398,730.34","401,938.11","3,207.77",AUSTRALIA,Consumer Discretionary,Consumer Services
WEBJET LTD,"106,640","300,030.41","391,587.52","91,557.11",AUSTRALIA,Consumer Discretionary,Consumer Services
INVOCARE LTD,"40,827","349,600.12","293,661.22","(55,938.90)",AUSTRALIA,Consumer Discretionary,Consumer Services
COLLINS FOODS LTD,"32,185","122,667.46","219,328.27","96,660.81",AUSTRALIA,Consumer Discretionary,Consumer Services
JUMBO INTERACTIVE LTD,"11,918","78,519.02","116,538.77","38,019.75",AUSTRALIA,Consumer Discretionary,Consumer Services
DOMINO'S PIZZA ENTERPRISES LTD,"2,378","120,939.28","111,195.75","(9,743.53)",AUSTRALIA,Consumer Discretionary,Consumer Services
ARDENT LEISURE GROUP LTD,"76,842","109,719.94","73,976.56","(35,743.38)",AUSTRALIA,Consumer Discretionary,Consumer Services
PROPEL FUNERAL PARTNERS LTD,"20,096","51,847.95","65,363.94","13,515.99",AUSTRALIA,Consumer Discretionary,Consumer Services
ELANOR INVESTOR GROUP,"38,734","55,738.71","43,948.47","(11,790.24)",AUSTRALIA,Consumer Discretionary,Consumer Services
POINTSBET HOLDINGS LTD,"23,105","194,867.04","42,580.25","(152,286.79)",AUSTRALIA,Consumer Discretionary,Consumer Services
RETAIL FOOD GROUP LTD,"1,128,832","70,940.35","30,273.41","(40,666.94)",AUSTRALIA,Consumer Discretionary,Consumer Services
BETMAKERS TECHNOLOGY GROUP LTD,"119,327","124,456.67","27,898.77","(96,557.90)",AUSTRALIA,Consumer Discretionary,Consumer Services
AINSWORTH GAME TECHNOLOGY LTD,"23,094","47,205.50","15,245.37","(31,960.13)",AUSTRALIA,Consumer Discretionary,Consumer Services
EXPERIENCE CO LTD,"38,535","10,605.10","5,829.69","(4,775.41)",AUSTRALIA,Consumer Discretionary,Consumer Services
HELLOWORLD TRAVEL LTD,"4,262","13,215.87","4,952.99","(8,262.88)",AUSTRALIA,Consumer Discretionary,Consumer Services
SUPER RETAIL GROUP LTD,"452,533","3,248,948.35","2,641,954.86","(606,993.49)",AUSTRALIA,Consumer Discretionary,Retailing
WESFARMERS LTD,"69,479","2,183,498.96","2,002,343.90","(181,155.06)",AUSTRALIA,Consumer Discretionary,Retailing
PREMIER INVESTMENTS LTD,"77,806","809,569.13","1,031,008.50","221,439.37",AUSTRALIA,Consumer Discretionary,Retailing
BAPCOR LTD,"240,500","1,115,860.31","1,005,509.34","(110,350.97)",AUSTRALIA,Consumer Discretionary,Retailing
JB HI-FI LTD,"26,060","639,858.62","689,209.31","49,350.69",AUSTRALIA,Consumer Discretionary,Retailing
HARVEY NORMAN HOLDINGS LTD,"157,066","424,596.47","400,703.87","(23,892.60)",AUSTRALIA,Consumer Discretionary,Retailing
EAGERS AUTOMOTIVE LTD,"43,752","352,025.21","292,436.53","(59,588.68)",AUSTRALIA,Consumer Discretionary,Retailing
MYER HOLDINGS LTD,"647,438","580,677.74","144,693.50","(435,984.24)",AUSTRALIA,Consumer Discretionary,Retailing
LOVISA HOLDINGS LTD,"14,286","105,735.21","135,666.23","29,931.02",AUSTRALIA,Consumer Discretionary,Retailing
ACCENT GROUP LTD,"154,350","195,962.34","131,612.08","(64,350.26)",AUSTRALIA,Consumer Discretionary,Retailing
NICK SCALI LTD,"20,492","116,680.00","116,394.33",(285.67),AUSTRALIA,Consumer Discretionary,Retailing
ADAIRS LTD,"61,071","90,424.00","80,211.35","(10,212.65)",AUSTRALIA,Consumer Discretionary,Retailing
CITY CHIC COLLECTIVE LTD,"57,518","113,140.73","72,380.63","(40,760.10)",AUSTRALIA,Consumer Discretionary,Retailing
REJECT SHOP LTD/THE,"25,771","136,942.01","57,594.64","(79,347.37)",AUSTRALIA,Consumer Discretionary,Retailing
BABY BUNTING GROUP LTD,"20,142","42,891.68","56,510.64","13,618.96",AUSTRALIA,Consumer Discretionary,Retailing
SHAVER SHOP GROUP LTD,"73,355","58,428.57","49,181.51","(9,247.06)",AUSTRALIA,Consumer Discretionary,Retailing
KOGAN.COM LTD,"21,245","168,097.15","40,613.37","(127,483.78)",AUSTRALIA,Consumer Discretionary,Retailing
TEMPLE & WEBSTER GROUP LTD,"17,027","118,369.07","38,872.61","(79,496.46)",AUSTRALIA,Consumer Discretionary,Retailing
MICHAEL HILL INTERNATIONAL LTD,"43,889","40,344.60","30,835.42","(9,509.18)",AUSTRALIA,Consumer Discretionary,Retailing
REDBUBBLE LTD,"32,628","125,607.05","20,192.98","(105,414.07)",AUSTRALIA,Consumer Discretionary,Retailing
NATIONAL TYRE & WHEEL LTD,"29,077","31,464.83","19,294.98","(12,169.85)",AUSTRALIA,Consumer Discretionary,Retailing
VITA GROUP LTD,"131,348","87,485.94","16,709.47","(70,776.47)",AUSTRALIA,Consumer Discretionary,Retailing
BEACON LIGHTING GROUP LTD,"13,086","24,671.15","16,062.48","(8,608.67)",AUSTRALIA,Consumer Discretionary,Retailing
MICHAEL HILL INTERNATIONAL LTD,"14,289","11,042.25","10,120.61",(921.64),AUSTRALIA,Consumer Discretionary,Retailing
MOTORCYCLE HOLDINGS LTD,"5,790","10,410.95","8,281.51","(2,129.44)",AUSTRALIA,Consumer Discretionary,Retailing
METCASH LTD,"1,465,868","2,369,270.19","4,273,937.51","1,904,667.32",AUSTRALIA,Consumer Staples,Food & Staples Retailing
WOOLWORTHS GROUP LTD,"125,664","2,877,036.20","3,076,297.44","199,261.24",AUSTRALIA,Consumer Staples,Food & Staples Retailing
COLES GROUP LTD,"202,341","2,327,463.05","2,478,079.64","150,616.59",AUSTRALIA,Consumer Staples,Food & Staples Retailing
GRAINCORP LTD,"263,210","1,733,404.47","1,721,275.35","(12,129.12)",AUSTRALIA,Consumer Staples,Food & Staples Retailing
ENDEAVOUR GROUP LTD/AUSTRALIA,"53,765","264,648.88","279,874.28","15,225.40",AUSTRALIA,Consumer Staples,Food & Staples Retailing
TASSAL GROUP LTD,"363,444","964,304.82","1,197,127.65","232,822.83",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
AUSTRALIAN AGRICULTURAL CO LTD,"545,434","709,070.95","810,146.21","101,075.26",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
UNITED MALT GRP LTD,"322,777","803,383.26","725,801.37","(77,581.89)",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
ELDERS LTD,"75,147","488,517.36","650,586.17","162,068.81",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
BEGA CHEESE LTD,"221,983","813,374.42","583,110.05","(230,264.37)",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
COSTA GROUP HOLDINGS LTD,"275,548","617,790.90","541,914.47","(75,876.43)",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
SELECT HARVESTS LTD,"137,009","649,335.51","442,806.92","(206,528.59)",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
TREASURY WINE ESTATES LTD,"48,542","349,078.30","378,861.94","29,783.64",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
RIDLEY CORP LTD,"256,651","219,753.39","315,910.04","96,156.65",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
INGHAMS GROUP LTD,"95,943","260,539.77","170,216.03","(90,323.74)",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
AUSTRALIAN VINTAGE LTD,"164,156","72,140.80","76,759.68","4,618.88",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
LARK DISTILLING CO LTD,"2,960","10,524.41","5,597.47","(4,926.94)",AUSTRALIA,Consumer Staples,"Food, Beverage & Tobacco"
BLACKMORES LTD,"4,236","299,736.07","205,067.13","(94,668.94)",AUSTRALIA,Consumer Staples,Household & Personal Products
BWX LTD,"84,131","259,747.29","37,025.71","(222,721.58)",AUSTRALIA,Consumer Staples,Household & Personal Products
MCPHERSON'S LTD,"16,242","17,092.74","7,315.57","(9,777.17)",AUSTRALIA,Consumer Staples,Household & Personal Products
BWX LTD,"11,730","4,840.03","5,162.32",322.29,AUSTRALIA,Consumer Staples,Household & Personal Products
WOODSIDE ENERGY GROUP LTD,"561,076","12,224,806.42","12,284,633.34","59,826.92",AUSTRALIA,Energy,Energy
SANTOS LTD,"1,092,736","5,803,251.27","5,575,535.74","(227,715.53)",AUSTRALIA,Energy,Energy
BEACH ENERGY LTD,"3,326,251","4,429,418.64","3,945,586.48","(483,832.16)",AUSTRALIA,Energy,Energy
WHITEHAVEN COAL LTD,"944,807","2,080,370.68","3,144,531.21","1,064,160.53",AUSTRALIA,Energy,Energy
WOODSIDE ENERGY GROUP LTD,"114,278","2,580,604.36","2,414,848.21","(165,756.15)",AUSTRALIA,Energy,Energy
VIVA ENERGY GROUP LTD,"638,503","975,925.18","1,268,902.45","292,977.27",AUSTRALIA,Energy,Energy
NEW HOPE CORP LTD,"458,077","693,997.56","1,089,888.41","395,890.85",AUSTRALIA,Energy,Energy
AMPOL LTD,"37,011","719,926.93","871,174.52","151,247.59",AUSTRALIA,Energy,Energy
WORLEY LTD,"76,314","591,233.48","747,277.06","156,043.58",AUSTRALIA,Energy,Energy
KAROON ENERGY LTD,"314,656","361,518.37","376,489.36","14,970.99",AUSTRALIA,Energy,Energy
PALADIN ENERGY LTD,"740,418","373,848.61","295,306.09","(78,542.52)",AUSTRALIA,Energy,Energy
COOPER ENERGY LTD,"1,451,353","291,448.27","244,515.61","(46,932.66)",AUSTRALIA,Energy,Energy
WASHINGTON H SOUL PATTINSON &,"13,260","259,911.02","214,643.35","(45,267.67)",AUSTRALIA,Energy,Energy
COOPER ENERGY LTD,"813,764","138,394.20","137,098.28","(1,295.92)",AUSTRALIA,Energy,Energy
CARNARVON PETROLEUM LTD,"739,499","150,741.24","99,160.71","(51,580.53)",AUSTRALIA,Energy,Energy
BOSS ENERGY LTD,"64,804","94,262.05","78,875.57","(15,386.48)",AUSTRALIA,Energy,Energy
MMA OFFSHORE LTD,"186,103","109,122.04","71,665.29","(37,456.75)",AUSTRALIA,Energy,Energy
WOODSIDE ENERGY GROUP LTD,"3,240","74,518.87","69,853.34","(4,665.53)",AUSTRALIA,Energy,Energy
STRIKE ENERGY LTD,"290,758","68,916.48","50,984.63","(17,931.85)",AUSTRALIA,Energy,Energy
CALIMA ENERGY LTD,"333,522","47,320.10","38,988.89","(8,331.21)",AUSTRALIA,Energy,Energy
HORIZON OIL LTD,"256,942","26,953.41","23,852.63","(3,100.78)",AUSTRALIA,Energy,Energy
DEEP YELLOW LTD,"48,008","27,304.96","19,642.56","(7,662.40)",AUSTRALIA,Energy,Energy
BANNERMAN ENERGY LTD,"78,928","12,069.78","9,226.72","(2,843.06)",AUSTRALIA,Energy,Energy
ELIXIR ENERGY LTD,"97,499","21,833.69","9,051.10","(12,782.59)",AUSTRALIA,Energy,Energy
AUSTRALIS OIL & GAS LTD,"233,914","11,830.01","7,077.45","(4,752.56)",AUSTRALIA,Energy,Energy
BOSS ENERGY LTD,"1,012","1,546.23","1,231.75",(314.48),AUSTRALIA,Energy,Energy
COMMONWEALTH BANK OF AUSTRALIA,"112,766","6,280,428.23","7,008,385.14","727,956.91",AUSTRALIA,Financials,Banks
AUSTRALIA & NEW ZEALAND BANKIN,"450,663","8,633,566.22","6,827,062.01","(1,806,504.21)",AUSTRALIA,Financials,Banks
NATIONAL AUSTRALIA BANK LTD,"301,453","6,044,054.44","5,677,786.92","(366,267.52)",AUSTRALIA,Financials,Banks
WESTPAC BANKING CORP,"321,352","6,264,495.55","4,309,065.20","(1,955,430.35)",AUSTRALIA,Financials,Banks
BANK OF QUEENSLAND LTD,"478,874","3,241,654.97","2,196,415.71","(1,045,239.26)",AUSTRALIA,Financials,Banks
BENDIGO & ADELAIDE BANK LTD,"153,530","848,685.24","957,564.39","108,879.15",AUSTRALIA,Financials,Banks
GENWORTH MORTGAGE INSURANCE AU,"418,170","865,476.35","661,375.59","(204,100.76)",AUSTRALIA,Financials,Banks
MYSTATE LTD,"91,795","320,062.54","257,541.15","(62,521.39)",AUSTRALIA,Financials,Banks
AUSWIDE BANK LTD,"15,963","77,691.14","66,849.67","(10,841.47)",AUSTRALIA,Financials,Banks
AUSTRALIAN FINANCE GROUP LTD,"33,577","49,010.08","34,864.73","(14,145.35)",AUSTRALIA,Financials,Banks
JUDO CAPITAL HOLDINGS LTD,"38,564","47,815.55","31,954.83","(15,860.72)",AUSTRALIA,Financials,Banks
PEPPER MONEY LTD/AUSTRALIA,"28,275","36,809.58","22,943.10","(13,866.48)",AUSTRALIA,Financials,Banks
RESIMAC GROUP LTD,"8,117","8,231.40","6,418.90","(1,812.50)",AUSTRALIA,Financials,Banks
MACQUARIE GROUP LTD,"59,471","4,658,928.97","6,727,674.81","2,068,745.84",AUSTRALIA,Financials,Diversified Financials
IOOF HOLDINGS LTD,"685,671","2,854,574.53","1,268,339.47","(1,586,235.06)",AUSTRALIA,Financials,Diversified Financials
AMP LTD,"1,670,736","2,076,378.70","1,097,181.94","(979,196.76)",AUSTRALIA,Financials,Diversified Financials
CHALLENGER LTD,"173,061","666,944.93","813,996.90","147,051.97",AUSTRALIA,Financials,Diversified Financials
ASX LTD,"13,004","471,705.42","730,667.21","258,961.79",AUSTRALIA,Financials,Diversified Financials
ECLIPX GROUP LTD,"321,349","692,558.68","508,243.97","(184,314.71)",AUSTRALIA,Financials,Diversified Financials
PERPETUAL LTD,"24,414","755,619.19","484,845.74","(270,773.45)",AUSTRALIA,Financials,Diversified Financials
HUB24 LTD,"22,414","297,216.63","312,418.73","15,202.10",AUSTRALIA,Financials,Diversified Financials
CREDIT CORP GROUP LTD,"18,893","235,187.67","263,473.13","28,285.46",AUSTRALIA,Financials,Diversified Financials
PENDAL GROUP LTD,"86,094","527,435.56","261,675.22","(265,760.34)",AUSTRALIA,Financials,Diversified Financials
NETWEALTH GROUP LTD,"28,606","230,090.47","239,198.34","9,107.87",AUSTRALIA,Financials,Diversified Financials
MONEY3 CORP LTD,"164,296","280,954.37","221,437.17","(59,517.20)",AUSTRALIA,Financials,Diversified Financials
PACIFIC CURRENT GROUP LTD,"39,728","180,370.83","189,047.20","8,676.37",AUSTRALIA,Financials,Diversified Financials
OMNI BRIDGEWAY LTD,"77,385","167,579.04","188,908.97","21,329.93",AUSTRALIA,Financials,Diversified Financials
EQT HOLDINGS LTD,"9,901","171,266.94","178,380.67","7,113.73",AUSTRALIA,Financials,Diversified Financials
MAGELLAN FINANCIAL GROUP LTD,"18,744","290,095.79","166,529.90","(123,565.89)",AUSTRALIA,Financials,Diversified Financials
NAVIGATOR GLOBAL INVESTMENTS L,"151,747","240,606.99","129,914.29","(110,692.70)",AUSTRALIA,Financials,Diversified Financials
PINNACLE INVESTMENT MANAGEMENT,"24,718","203,662.94","119,491.25","(84,171.69)",AUSTRALIA,Financials,Diversified Financials
HUMM GROUP LTD,"422,767","465,718.52","119,193.45","(346,525.07)",AUSTRALIA,Financials,Diversified Financials
PLATINUM ASSET MANAGEMENT LTD,"75,492","298,458.80","90,327.01","(208,131.79)",AUSTRALIA,Financials,Diversified Financials
MA FINANCIAL GROUP LTD,"22,221","103,774.17","68,761.22","(35,012.95)",AUSTRALIA,Financials,Diversified Financials
OFX GROUP LTD,"38,619","46,581.60","60,814.05","14,232.45",AUSTRALIA,Financials,Diversified Financials
AUSTRALIAN ETHICAL INVESTMENT,"17,492","117,943.83","56,052.22","(61,891.61)",AUSTRALIA,Financials,Diversified Financials
ZIP CO LTD,"124,363","517,844.61","37,628.02","(480,216.59)",AUSTRALIA,Financials,Diversified Financials
EUROZ LTD,"29,017","34,720.33","36,016.15","1,295.82",AUSTRALIA,Financials,Diversified Financials
EARLYPAY LTD,"94,125","34,944.66","31,715.28","(3,229.38)",AUSTRALIA,Financials,Diversified Financials
BELL FINANCIAL GROUP LTD,"34,240","33,479.34","22,721.06","(10,758.28)",AUSTRALIA,Financials,Diversified Financials
COG FINANCIAL SERVICES LTD,"18,909","21,966.39","20,544.38","(1,422.01)",AUSTRALIA,Financials,Diversified Financials
360 CAPITAL GROUP LTD,"21,941","15,021.07","13,050.89","(1,970.18)",AUSTRALIA,Financials,Diversified Financials
CASH CONVERTERS INTERNATIONAL,"64,704","49,951.83","10,233.55","(39,718.28)",AUSTRALIA,Financials,Diversified Financials
CLEARVIEW WEALTH LTD/AUSTRALIA,"11,636","5,802.46","5,441.02",(361.44),AUSTRALIA,Financials,Diversified Financials
COLLECTION HOUSE LTD,"25,391","44,933.31","1,187.29","(43,746.02)",AUSTRALIA,Financials,Diversified Financials
SUNCORP GROUP LTD,"241,937","2,033,440.50","1,826,720.41","(206,720.09)",AUSTRALIA,Financials,Insurance
QBE INSURANCE GROUP LTD,"124,598","1,298,204.15","1,041,009.76","(257,194.39)",AUSTRALIA,Financials,Insurance
NIB HOLDINGS LTD/AUSTRALIA,"146,108","540,865.36","741,477.21","200,611.85",AUSTRALIA,Financials,Insurance
INSURANCE AUSTRALIA GROUP LTD,"200,066","791,703.04","599,828.67","(191,874.37)",AUSTRALIA,Financials,Insurance
STEADFAST GROUP LTD,"171,020","399,357.16","590,361.55","191,004.39",AUSTRALIA,Financials,Insurance
MEDIBANK PVT LTD,"242,822","481,709.38","542,673.79","60,964.41",AUSTRALIA,Financials,Insurance
AUB GROUP LTD,"27,551","264,634.17","334,955.47","70,321.30",AUSTRALIA,Financials,Insurance
PSC INSURANCE GROUP LTD,"13,640","35,703.67","38,831.32","3,127.65",AUSTRALIA,Financials,Insurance
SONIC HEALTHCARE LTD,"255,593","5,965,513.37","5,801,788.96","(163,724.41)",AUSTRALIA,Health Care,Health Care Equipment & Services
EBOS GROUP LTD,"96,429","2,406,889.54","2,338,834.05","(68,055.49)",AUSTRALIA,Health Care,Health Care Equipment & Services
ANSELL LTD,"120,927","2,163,059.54","1,849,377.24","(313,682.30)",AUSTRALIA,Health Care,Health Care Equipment & Services
HEALIUS LTD,"606,175","1,665,294.79","1,529,788.99","(135,505.80)",AUSTRALIA,Health Care,Health Care Equipment & Services
COCHLEAR LTD,"8,250","1,010,315.08","1,127,247.45","116,932.37",AUSTRALIA,Health Care,Health Care Equipment & Services
RAMSAY HEALTH CARE LTD,"11,533","446,752.56","580,842.09","134,089.53",AUSTRALIA,Health Care,Health Care Equipment & Services
VIRTUS HEALTH LTD,"57,512","242,803.51","312,430.21","69,626.70",AUSTRALIA,Health Care,Health Care Equipment & Services
SIGMA HEALTHCARE LTD,"720,337","426,396.68","287,297.04","(139,099.64)",AUSTRALIA,Health Care,Health Care Equipment & Services
ESTIA HEALTH LTD,"210,227","449,322.49","276,114.55","(173,207.94)",AUSTRALIA,Health Care,Health Care Equipment & Services
PRO MEDICUS LTD,"7,233","70,927.36","210,141.89","139,214.53",AUSTRALIA,Health Care,Health Care Equipment & Services
MONASH IVF GROUP LTD,"284,726","198,184.09","184,044.32","(14,139.77)",AUSTRALIA,Health Care,Health Care Equipment & Services
NANOSONICS LTD,"68,854","275,723.07","159,087.45","(116,635.62)",AUSTRALIA,Health Care,Health Care Equipment & Services
INTEGRAL DIAGNOSTICS LTD,"52,427","113,171.66","109,235.82","(3,935.84)",AUSTRALIA,Health Care,Health Care Equipment & Services
POLYNOVO LTD,"94,234","124,100.37","87,804.01","(36,296.36)",AUSTRALIA,Health Care,Health Care Equipment & Services
CAPITOL HEALTH LTD,"194,894","44,349.73","37,525.28","(6,824.45)",AUSTRALIA,Health Care,Health Care Equipment & Services
REGIS HEALTHCARE LTD,"20,122","63,311.70","25,598.25","(37,713.45)",AUSTRALIA,Health Care,Health Care Equipment & Services
HEALTHIA LTD,"12,608","18,676.43","12,181.21","(6,495.22)",AUSTRALIA,Health Care,Health Care Equipment & Services
COGSTATE LTD,"8,421","14,220.59","8,830.82","(5,389.77)",AUSTRALIA,Health Care,Health Care Equipment & Services
PARAGON CARE LTD,"36,938","8,698.27","7,112.12","(1,586.15)",AUSTRALIA,Health Care,Health Care Equipment & Services
ALCIDION GROUP LTD,"40,385","12,373.58","3,054.78","(9,318.80)",AUSTRALIA,Health Care,Health Care Equipment & Services
CSL LTD,"24,195","2,466,602.81","4,476,537.34","2,009,934.53",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
MAYNE PHARMA GROUP LTD,"953,394","485,331.36","163,900.34","(321,431.02)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
CLINUVEL PHARMACEUTICALS LTD,"12,658","202,452.03","129,258.47","(73,193.56)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
IMUGENE LTD,"775,291","238,058.51","95,963.20","(142,095.31)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
TELIX PHARMACEUTICALS LTD,"21,814","82,890.19","67,951.80","(14,938.39)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
MESOBLAST LTD,"98,842","264,976.72","41,460.91","(223,515.81)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
OPTHEA LTD,"21,922","21,075.89","16,582.13","(4,493.76)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
IMMUTEP LTD,"40,807","20,385.14","8,137.67","(12,247.47)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
MEDICAL DEVELOPMENTS INTERNATI,"2,247","10,452.02","2,255.92","(8,196.10)",AUSTRALIA,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
NRW HOLDINGS LTD,"1,546,242","3,087,373.65","1,802,248.27","(1,285,125.38)",AUSTRALIA,Industrials,Capital Goods
AUSTAL LTD,"1,242,751","2,540,693.70","1,538,239.90","(1,002,453.80)",AUSTRALIA,Industrials,Capital Goods
MONADELPHOUS GROUP LTD,"63,257","539,276.96","432,811.83","(106,465.13)",AUSTRALIA,Industrials,Capital Goods
SEVEN GROUP HOLDINGS LTD,"24,682","234,078.03","281,914.51","47,836.48",AUSTRALIA,Industrials,Capital Goods
GWA GROUP LTD,"177,300","359,660.88","239,573.49","(120,087.39)",AUSTRALIA,Industrials,Capital Goods
SERVICE STREAM LTD,"366,981","257,539.18","220,810.18","(36,729.00)",AUSTRALIA,Industrials,Capital Goods
JOHNS LYNG GROUP LTD,"44,028","179,835.02","173,783.40","(6,051.62)",AUSTRALIA,Industrials,Capital Goods
REECE LTD,"14,231","180,736.48","134,850.36","(45,886.12)",AUSTRALIA,Industrials,Capital Goods
EMECO HOLDINGS LTD,"221,890","196,813.32","99,178.73","(97,634.59)",AUSTRALIA,Industrials,Capital Goods
SOUTHERN CROSS ELECTRICAL ENGI,"181,414","74,103.22","73,602.11",(501.11),AUSTRALIA,Industrials,Capital Goods
MAAS GROUP HOLDINGS LTD,"22,818","43,720.31","56,957.60","13,237.29",AUSTRALIA,Industrials,Capital Goods
